acc_genome,integron_id,locus_id
GCA_061039475.1_ASM6103947v1_genomic.attC_filtered,integron_01,DBQXGY010000017.1
GCA_061039475.1_ASM6103947v1_genomic.attC_filtered,integron_01,DBQXGY010000163.1
GCA_061039475.1_ASM6103947v1_genomic.attC_filtered,integron_01,DBQXGY010000095.1
GCA_061039475.1_ASM6103947v1_genomic.attC_filtered,integron_01,DBQXGY010000160.1
GCA_061039475.1_ASM6103947v1_genomic.attC_filtered,integron_01,DBQXGY010000168.1
GCA_061039475.1_ASM6103947v1_genomic.attC_filtered,integron_01,DBQXGY010000069.1
GCA_061039515.1_ASM6103951v1_genomic.attC_filtered,integron_01,DBQXGV010000151.1
GCA_061039515.1_ASM6103951v1_genomic.attC_filtered,integron_01,DBQXGV010000093.1
GCA_061039555.1_ASM6103955v1_genomic.attC_filtered,integron_01,DBQXGU010000186.1
GCA_061039555.1_ASM6103955v1_genomic.attC_filtered,integron_01,DBQXGU010000107.1
GCA_061039595.1_ASM6103959v1_genomic.attC_filtered,integron_01,DBQXGZ010000028.1
GCA_061039595.1_ASM6103959v1_genomic.attC_filtered,integron_01,DBQXGZ010000149.1
GCA_061039645.1_ASM6103964v1_genomic.attC_filtered,integron_01,DBQXGW010000056.1
GCA_061039645.1_ASM6103964v1_genomic.attC_filtered,integron_01,DBQXGW010000119.1
GCA_061039655.1_ASM6103965v1_genomic.attC_filtered,integron_01,DBQXHA010000067.1
GCA_061039795.1_ASM6103979v1_genomic.attC_filtered,integron_01,DBQXHB010000167.1
GCA_061039795.1_ASM6103979v1_genomic.attC_filtered,integron_01,DBQXHB010000164.1
GCA_061039795.1_ASM6103979v1_genomic.attC_filtered,integron_01,DBQXHB010000071.1
GCA_061039795.1_ASM6103979v1_genomic.attC_filtered,integron_01,DBQXHB010000015.1
GCA_061039795.1_ASM6103979v1_genomic.attC_filtered,integron_01,DBQXHB010000172.1
GCA_061039795.1_ASM6103979v1_genomic.attC_filtered,integron_01,DBQXHB010000098.1
GCA_061039975.1_ASM6103997v1_genomic.attC_filtered,integron_01,DBQXHG010000224.1
GCA_061039975.1_ASM6103997v1_genomic.attC_filtered,integron_01,DBQXHG010000012.1
GCA_061039975.1_ASM6103997v1_genomic.attC_filtered,integron_01,DBQXHG010000075.1
GCA_061039975.1_ASM6103997v1_genomic.attC_filtered,integron_01,DBQXHG010000222.1
GCA_061040115.1_ASM6104011v1_genomic.attC_filtered,integron_01,DBQXHJ010000164.1
GCA_061040115.1_ASM6104011v1_genomic.attC_filtered,integron_01,DBQXHJ010000060.1
GCA_061040185.1_ASM6104018v1_genomic.attC_filtered,integron_01,DBQXHK010000087.1
GCA_061040185.1_ASM6104018v1_genomic.attC_filtered,integron_01,DBQXHK010000119.1
GCA_061040195.1_ASM6104019v1_genomic.attC_filtered,integron_01,DBQXHI010000048.1
GCA_061040195.1_ASM6104019v1_genomic.attC_filtered,integron_01,DBQXHI010000104.1
GCA_061040295.1_ASM6104029v1_genomic.attC_filtered,integron_01,DBQXHL010000163.1
GCA_061040295.1_ASM6104029v1_genomic.attC_filtered,integron_01,DBQXHL010000017.1
GCA_061040295.1_ASM6104029v1_genomic.attC_filtered,integron_01,DBQXHL010000095.1
GCA_061040295.1_ASM6104029v1_genomic.attC_filtered,integron_01,DBQXHL010000069.1
GCA_061040295.1_ASM6104029v1_genomic.attC_filtered,integron_01,DBQXHL010000160.1
GCA_061040295.1_ASM6104029v1_genomic.attC_filtered,integron_01,DBQXHL010000169.1
GCA_061040315.1_ASM6104031v1_genomic.attC_filtered,integron_01,DBQXHO010000149.1
GCA_061040315.1_ASM6104031v1_genomic.attC_filtered,integron_01,DBQXHO010000018.1
GCA_061040315.1_ASM6104031v1_genomic.attC_filtered,integron_01,DBQXHO010000152.1
GCA_061040315.1_ASM6104031v1_genomic.attC_filtered,integron_01,DBQXHO010000157.1
GCA_061040315.1_ASM6104031v1_genomic.attC_filtered,integron_01,DBQXHO010000071.1
GCA_061040315.1_ASM6104031v1_genomic.attC_filtered,integron_01,DBQXHO010000095.1
GCA_061040415.1_ASM6104041v1_genomic.attC_filtered,integron_01,DBQXHN010000158.1
GCA_061040415.1_ASM6104041v1_genomic.attC_filtered,integron_01,DBQXHN010000069.1
GCA_061040415.1_ASM6104041v1_genomic.attC_filtered,integron_01,DBQXHN010000016.1
GCA_061040415.1_ASM6104041v1_genomic.attC_filtered,integron_01,DBQXHN010000166.1
GCA_061040415.1_ASM6104041v1_genomic.attC_filtered,integron_01,DBQXHN010000093.1
GCA_061040415.1_ASM6104041v1_genomic.attC_filtered,integron_01,DBQXHN010000161.1
GCA_061040495.1_ASM6104049v1_genomic.attC_filtered,integron_01,DBQXHP010000168.1
GCA_061040495.1_ASM6104049v1_genomic.attC_filtered,integron_01,DBQXHP010000095.1
GCA_061040595.1_ASM6104059v1_genomic.attC_filtered,integron_01,DBQXHR010000097.1
GCA_061040595.1_ASM6104059v1_genomic.attC_filtered,integron_01,DBQXHR010000157.1
GCA_061040625.1_ASM6104062v1_genomic.attC_filtered,integron_01,DBQXHT010000157.1
GCA_061040625.1_ASM6104062v1_genomic.attC_filtered,integron_01,DBQXHT010000102.1
GCA_061040625.1_ASM6104062v1_genomic.attC_filtered,integron_01,DBQXHT010000149.1
GCA_061040625.1_ASM6104062v1_genomic.attC_filtered,integron_01,DBQXHT010000072.1
GCA_061040625.1_ASM6104062v1_genomic.attC_filtered,integron_01,DBQXHT010000152.1
GCA_061040625.1_ASM6104062v1_genomic.attC_filtered,integron_01,DBQXHT010000017.1
GCA_061040795.1_ASM6104079v1_genomic.attC_filtered,integron_01,DBQXHX010000161.1
GCA_061040795.1_ASM6104079v1_genomic.attC_filtered,integron_01,DBQXHX010000099.1
GCA_061040825.1_ASM6104082v1_genomic.attC_filtered,integron_01,DBQXHY010000204.1
GCA_061040825.1_ASM6104082v1_genomic.attC_filtered,integron_01,DBQXHY010000075.1
GCA_061040825.1_ASM6104082v1_genomic.attC_filtered,integron_01,DBQXHY010000206.1
GCA_061040825.1_ASM6104082v1_genomic.attC_filtered,integron_01,DBQXHY010000012.1
GCA_061040865.1_ASM6104086v1_genomic.attC_filtered,integron_01,DBQXIB010000323.1
GCA_061040915.1_ASM6104091v1_genomic.attC_filtered,integron_01,DBQXHZ010000078.1
GCA_061040915.1_ASM6104091v1_genomic.attC_filtered,integron_01,DBQXHZ010000206.1
GCA_061040915.1_ASM6104091v1_genomic.attC_filtered,integron_01,DBQXHZ010000011.1
GCA_061040915.1_ASM6104091v1_genomic.attC_filtered,integron_01,DBQXHZ010000205.1
GCA_061040955.1_ASM6104095v1_genomic.attC_filtered,integron_01,DBQXIA010000081.1
GCA_061040955.1_ASM6104095v1_genomic.attC_filtered,integron_01,DBQXIA010000160.1
GCA_061041045.1_ASM6104104v1_genomic.attC_filtered,integron_01,DBQXIC010000152.1
GCA_061041045.1_ASM6104104v1_genomic.attC_filtered,integron_01,DBQXIC010000069.1
GCA_061041045.1_ASM6104104v1_genomic.attC_filtered,integron_01,DBQXIC010000099.1
GCA_061041045.1_ASM6104104v1_genomic.attC_filtered,integron_01,DBQXIC010000016.1
GCA_061041045.1_ASM6104104v1_genomic.attC_filtered,integron_01,DBQXIC010000157.1
GCA_061041045.1_ASM6104104v1_genomic.attC_filtered,integron_01,DBQXIC010000149.1
GCA_061041075.1_ASM6104107v1_genomic.attC_filtered,integron_01,DBQXIE010000159.1
GCA_061041075.1_ASM6104107v1_genomic.attC_filtered,integron_01,DBQXIE010000093.1
GCA_061041135.1_ASM6104113v1_genomic.attC_filtered,integron_01,DBQXIG010000122.1
GCA_061041135.1_ASM6104113v1_genomic.attC_filtered,integron_01,DBQXIG010000027.1
GCA_061041155.1_ASM6104115v1_genomic.attC_filtered,integron_01,DBQXIF010000184.1
GCA_061041155.1_ASM6104115v1_genomic.attC_filtered,integron_01,DBQXIF010000069.1
GCA_061041175.1_ASM6104117v1_genomic.attC_filtered,integron_01,DBQXIH010000183.1
GCA_061041175.1_ASM6104117v1_genomic.attC_filtered,integron_01,DBQXIH010000065.1
GCA_061041255.1_ASM6104125v1_genomic.attC_filtered,integron_01,DBQXII010000091.1
GCA_061041255.1_ASM6104125v1_genomic.attC_filtered,integron_01,DBQXII010000161.1
GCA_061041255.1_ASM6104125v1_genomic.attC_filtered,integron_01,DBQXII010000068.1
GCA_061041255.1_ASM6104125v1_genomic.attC_filtered,integron_01,DBQXII010000156.1
GCA_061041255.1_ASM6104125v1_genomic.attC_filtered,integron_01,DBQXII010000017.1
GCA_061041255.1_ASM6104125v1_genomic.attC_filtered,integron_01,DBQXII010000153.1
GCA_061041695.1_ASM6104169v1_genomic.attC_filtered,integron_01,DBQXIM010000192.1
GCA_061042015.1_ASM6104201v1_genomic.attC_filtered,integron_01,DBQXIP010000089.1
GCA_061042015.1_ASM6104201v1_genomic.attC_filtered,integron_01,DBQXIP010000088.1
GCA_061042015.1_ASM6104201v1_genomic.attC_filtered,integron_01,DBQXIP010000090.1
GCA_061042015.1_ASM6104201v1_genomic.attC_filtered,integron_01,DBQXIP010000038.1
