acc_genome,integron_id,locus_id,start_Pc,end_Pc,Pc_variant
GCA_061039115.1_ASM6103911v1_genomic.attC_filtered,integron_01,DBQXGT010000062.1,898,927,PcH1
GCA_061039515.1_ASM6103951v1_genomic.attC_filtered,integron_01,DBQXGV010000077.1,898,927,PcH1
GCA_061039555.1_ASM6103955v1_genomic.attC_filtered,integron_01,DBQXGU010000091.1,898,927,PcH1
GCA_061039655.1_ASM6103965v1_genomic.attC_filtered,integron_01,DBQXHA010000120.1,646,675,PcH1
GCA_061039735.1_ASM6103973v1_genomic.attC_filtered,integron_01,DBQXGX010000061.1,898,927,PcW
GCA_061040005.1_ASM6104000v1_genomic.attC_filtered,integron_01,DBQXHD010000146.1,646,675,PcH1
GCA_061040185.1_ASM6104018v1_genomic.attC_filtered,integron_01,DBQXHK010000071.1,898,927,PcH1
GCA_061040355.1_ASM6104035v1_genomic.attC_filtered,integron_01,DBQXHM010000183.1,646,675,PcH1
GCA_061040495.1_ASM6104049v1_genomic.attC_filtered,integron_01,DBQXHP010000069.1,898,927,PcH1
GCA_061040595.1_ASM6104059v1_genomic.attC_filtered,integron_01,DBQXHR010000072.1,898,927,PcH1
GCA_061040715.1_ASM6104071v1_genomic.attC_filtered,integron_01,DBQXHV010000052.1,898,927,PcH1
GCA_061040795.1_ASM6104079v1_genomic.attC_filtered,integron_01,DBQXHX010000074.1,898,927,PcH1
GCA_061041075.1_ASM6104107v1_genomic.attC_filtered,integron_01,DBQXIE010000078.1,898,927,PcH1
GCA_061041695.1_ASM6104169v1_genomic.attC_filtered,integron_01,DBQXIM010000095.1,898,927,PcH1
GCA_061041715.1_ASM6104171v1_genomic.attC_filtered,integron_01,DBQXIO010000100.1,898,927,PcW
GCA_061042395.1_ASM6104239v1_genomic.attC_filtered,integron_01,DBQXIY010000093.1,898,927,PcH1
GCA_061042775.1_ASM6104277v1_genomic.attC_filtered,integron_01,DBQXJG010000309.1,898,927,PcH1
GCA_061047525.1_ASM6104752v1_genomic.attC_filtered,integron_01,DBQXKF010000095.1,898,927,PcH1
GCA_061047595.1_ASM6104759v1_genomic.attC_filtered,integron_01,DBQXKE010000074.1,898,927,PcH1
GCA_061047795.1_ASM6104779v1_genomic.attC_filtered,integron_01,DBQXKK010000094.1,898,927,PcH1
GCA_061050075.1_ASM6105007v1_genomic.attC_filtered,integron_01,DBQXMI010000071.1,898,927,PcW
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000087.1,868,897,PcW
GCA_061051635.1_ASM6105163v1_genomic.attC_filtered,integron_01,DBQXNJ010000057.1,898,927,PcW
GCA_061051655.1_ASM6105165v1_genomic.attC_filtered,integron_01,DBQXNK010000097.1,898,927,PcWTGN-10
GCA_061052035.1_ASM6105203v1_genomic.attC_filtered,integron_01,DBQXNV010000071.1,898,927,PcW
GCA_061052275.1_ASM6105227v1_genomic.attC_filtered,integron_01,DBQXNZ010000110.1,730,759,PcWTGN-10
GCA_061053215.1_ASM6105321v1_genomic.attC_filtered,integron_01,DBQXOK010000038.1,898,927,PcS
GCA_061053285.1_ASM6105328v1_genomic.attC_filtered,integron_01,DBQXOM010000037.1,898,927,PcS
GCA_061053545.1_ASM6105354v1_genomic.attC_filtered,integron_01,DBQXOS010000053.1,898,927,PcW
GCA_061053895.1_ASM6105389v1_genomic.attC_filtered,integron_01,DBQXPB010000082.1,898,927,PcH1
GCA_061053995.1_ASM6105399v1_genomic.attC_filtered,integron_01,DBQXPF010000079.1,898,927,PcH1
GCA_061054475.1_ASM6105447v1_genomic.attC_filtered,integron_01,DBQXPH010000080.1,898,927,PcW
GCA_061056555.1_ASM6105655v1_genomic.attC_filtered,integron_01,ACFDAO010000002.1,898,927,PcW
GCA_061056565.1_ASM6105656v1_genomic.attC_filtered,integron_01,ACFDAN010000036.1,898,927,PcW
GCA_061066365.1_ASM6106636v1_genomic.attC_filtered,integron_01,ACFDCK010000086.1,751,780,PcWTGN-10
GCA_061079305.1_ASM6107930v1_genomic.attC_filtered,integron_01,ACFDCW010000141.1,898,927,PcW
GCA_061082295.1_ASM6108229v1_genomic.attC_filtered,integron_01,ACFDDR010000333.1,898,927,PcH1
GCA_061084505.1_ASM6108450v1_genomic.attC_filtered,integron_01,ACFDFO010000046.1,751,780,PcWTGN-10
GCA_061085215.1_ASM6108521v1_genomic.attC_filtered,integron_01,ACFDGE010000139.1,898,927,PcW
GCA_061085895.1_ASM6108589v1_genomic.attC_filtered,integron_01,ACFDGT010000027.1,898,927,PcW
GCA_061086165.1_ASM6108616v1_genomic.attC_filtered,integron_01,ACFDGX010000052.1,751,780,PcWTGN-10
GCA_061086735.1_ASM6108673v1_genomic.attC_filtered,integron_01,ACFDHO010000002.1,898,927,PcW
GCA_061089815.1_ASM6108981v1_genomic.attC_filtered,integron_01,ACFDIX010000003.1,898,927,PcW
GCA_061090245.1_ASM6109024v1_genomic.attC_filtered,integron_01,ACFDJE010000028.1,898,927,PcS
GCA_061091665.1_ASM6109166v1_genomic.attC_filtered,integron_01,ACFDKM010000035.1,751,780,PcWTGN-10
GCA_061092245.1_ASM6109224v1_genomic.attC_filtered,integron_01,ACFDKZ010000145.1,898,927,PcW
GCA_061094205.1_ASM6109420v1_genomic.attC_filtered,integron_01,ACFDMP010000070.1,751,780,PcWTGN-10
GCA_061095345.1_ASM6109534v1_genomic.attC_filtered,integron_01,ACFDNU010000152.1,898,927,PcW
GCA_061095365.1_ASM6109536v1_genomic.attC_filtered,integron_01,ACFDNR010000152.1,898,927,PcW
GCA_061095445.1_ASM6109544v1_genomic.attC_filtered,integron_01,ACFDNT010000150.1,898,927,PcW
GCA_061095465.1_ASM6109546v1_genomic.attC_filtered,integron_01,ACFDNS010000139.1,898,927,PcW
GCA_061095565.1_ASM6109556v1_genomic.attC_filtered,integron_01,ACFDNV010000152.1,898,927,PcW
